#0)n 1)ID 2)Rsun(kpc) 3)Rgc(kpc) 4)MVt 5)Fe/H 6)c 7)Rc(arcmin) 8)Rh(arcmin) 9)muV(mag/arcsec^2) #10)core-collapsed?
1	ngc104		4.3	7.3	-9.37	-0.76	2.04	0.37	2.79	14.43	0
22	ngc4590		10.1	10.0	-7.30	-2.06	1.64	0.69	1.55	18.67   0
23	ngc4833		5.9	6.9	-7.96	-1.79	1.25	1.00	2.41	18.45   0
24	ngc5024		18.4	18.9	-8.75	-2.07	1.78	0.37	1.11	17.39   0
25	ngc5053		16.2	16.8	-6.67	-2.29	0.82	2.25	3.50	22.19   0
26	ngc5139		5.1	6.3	-10.24	-1.62	1.24	2.58	4.18	16.77   0
27	ngc5272		10.0	11.9	-8.85	-1.57	1.85	0.50	1.12	16.34   0
28	ngc5286		10.7	8.2	-8.56	-1.67	1.46	0.29	0.69	16.07   0
29	am4		29.2	24.8	-1.55	-2.00	0.50	0.42	0.42	24.75   0
30	ngc5466		16.6	16.9	-7.06	-2.22	1.43	1.96	2.25	21.28   0
31	ngc5634		25.3	21.3	-7.70	-1.82	1.60	0.21	0.54	17.49   0
32	ngc5694		33.9	28.3	-7.76	-1.86	1.84	0.06	0.33	16.34   0
33	ic4499		18.4	15.4	-7.28	-1.60	1.11	0.96	1.50	20.92   0
34	ngc5824		31.3	25.1	-8.79	-1.85	2.45	0.05	0.36	15.08   0
35	pal_5		22.6	18.0	-5.12	-1.38	0.74	2.90	2.96	24.67   0
36	ngc5897		12.7	7.6	-7.24	-1.80	0.79	1.96	2.11	20.49   0
37	ngc5904		7.3	6.1	-8.76	-1.29	1.87	0.40	2.11	16.05   0
38	ngc5927		7.4	4.5	-7.80	-0.37	1.60	0.42	1.15	17.45   0
39	ngc5946		12.3	7.1	-7.55	-1.38	2.50	0.08	0.69	17.42   1
41	ngc5986		10.3	4.7	-8.38	-1.67	1.22	0.63	1.05	17.56   0
43	pal_14		72.2	67.3	-4.68	-1.52	0.72	1.10	1.15	25.55   0
44	ngc6093		8.7	3.1	-7.92	-1.62	1.95	0.15	0.65	15.19   0
45	ngc6121		2.2	6.0	-7.15	-1.20	1.59	0.83	3.65	17.88   0
46	ngc6101		15.1	11.0	-6.86	-1.82	0.80	1.15	1.71	20.12   0
47	ngc6144		10.1	3.4	-7.00	-1.73	1.55	0.94	1.62	20.27   0
48	ngc6139		10.5	3.9	-8.41	-1.65	1.80	0.14	0.82	17.30   0
49	terzan3		26.4	18.9	-6.10	-100 	0.70	1.18	1.30	22.52   0
50	ngc6171		6.3	3.3	-7.08	-1.04	1.51	0.54	2.70	18.84   0
52	ngc6205		7.0	8.3	-8.50	-1.54	1.49	0.88	1.49	16.80   0
53	ngc6229		29.3	28.7	-7.98	-1.44	1.61	0.13	0.37	16.99   0
54	ngc6218		4.7	4.6	-7.27	-1.48	1.38	0.66	2.16	18.17   0
55	ngc6235		9.7	2.7	-6.09	-1.40	1.33	0.36	0.84	18.98   0
56	ngc6254		4.3	4.6	-7.43	-1.52	1.40	0.86	1.81	17.69   0
57	ngc6256		9.3	2.3	-6.16	-0.70	2.50	0.02	0.85	17.89   1
58	pal_15		43.6	36.9	-5.43	-1.90	0.60	1.21	1.21	24.87   0
59	ngc6266		6.7	1.8	-9.14	-1.29	1.70	0.18	1.23	15.35   1
60	ngc6273		8.5	1.5	-9.03	-1.68	1.53	0.43	1.25	16.82   0
61	ngc6284		14.3	6.6	-7.82	-1.32	2.50	0.07	0.78	16.65   1
62	ngc6287		8.4	1.6	-7.11	-2.05	1.60	0.26	0.75	18.33   0
63	ngc6293		8.8	1.5	-7.72	-1.92	2.50	0.05	0.91	16.18   1
64	ngc6304		6.0	2.2	-7.27	-0.59	1.80	0.21	1.41	17.34   0
65	ngc6316		11.5	3.7	-8.58	-0.55	1.55	0.17	0.71	17.40   0
66	ngc6341		8.1	9.5	-8.15	-2.29	1.81	0.23	1.09	15.58   0
67	ngc6325		9.4	1.9	-7.30	-1.17	2.50	0.03	0.94	17.56   1
68	ngc6333		8.3	1.7	-7.99	-1.72	1.15	0.58	0.95	17.40   0
69	ngc6342		9.1	1.9	-6.49	-0.65	2.50	0.05	0.88	17.44   1
70	ngc6356		14.6	7.0	-8.48	-0.50	1.54	0.23	0.74	17.09   0
71	ngc6355		7.1	1.2	-7.44	-1.50	2.50	0.05	0.87	18.05   1
72	ngc6352		5.6	3.3	-6.43	-0.70	1.10	0.83	2.00	18.42   0
74	terzan2		9.5	1.6	-5.00	-0.25	2.50	0.03	1.52	21.58   1
75	ngc6366		3.6	4.9	-5.72	-0.82	0.92	1.83	2.63	21.24   0
77	HP1		7.2	0.9	-6.39	-1.50	2.50	0.03	3.10	21.29   1
78	ngc6362		7.5	5.1	-6.92	-1.06	1.10	1.32	2.18	19.19   0
79	Liller1		10.5	2.6	-7.58	0.22	2.30	0.06	0.45	23.15   0
81	terzan1		6.5	1.5	-3.25	-0.35	2.50	0.04	3.82	25.09   1
82	ton2		7.9	1.4	-6.09	-0.50	1.30	0.54	1.08	22.16   0
83	ngc6388		11.5	4.4	-9.77	-0.60	1.70	0.12	0.67	14.55   0
84	ngc6402		8.7	3.8	-8.97	-1.39	1.60	0.83	1.29	18.41   0
85	ngc6401		7.5	0.9	-7.57	-1.12	1.69	0.25	1.91	18.67   0
86	ngc6397		2.2	6.0	-6.58	-1.95	2.50	0.05	2.33	15.65   1
87	pal_6		6.7	1.4	-7.32	-0.10	1.10	0.66	1.06	21.58   0
88	ngc6426		19.9	13.8	-6.60	-2.26	1.70	0.26	0.96	20.37   0
89	Djorg1		9.2	1.4	-6.50	-100 	1.50	0.50	1.26	23.10   0
90	terzan5		8.0	0.6	-7.86	-0.28	1.74	0.18	0.83	20.33   0
91	ngc6440		8.0	1.2	-8.70	-0.34	1.70	0.13	0.58	17.02   0
92	ngc6441		9.7	2.1	-9.18	-0.53	1.85	0.11	0.64	14.99   0
93	terzan6		7.5	0.6	-6.84	-0.65	2.50	0.05	0.44	20.76   1
94	ngc6453		10.9	3.1	-7.00	-1.53	2.50	0.07	0.37	17.35   1
95	UKS1		7.5	0.8	-6.18	-1.20	2.10	0.15	0.86	25.52   0
96	ngc6496		11.6	4.4	-7.18	-0.64	0.70	1.05	1.87	20.10   0
97	terzan9		7.8	0.6	-3.88	-1.00	2.50	0.03	0.78	23.21   1
98	Djorg2		13.8	5.8	-8.90	-100 	1.50	0.33	0.83	19.50   0
99	ngc6517		10.5	4.1	-8.23	-1.37	1.82	0.06	0.62	17.77   0
101	ngc6522		7.0	1.1	-7.51	-1.52	2.50	0.05	1.04	16.14   1
102	ngc6535		6.8	3.9	-4.68	-1.80	1.30	0.42	0.77	20.22   0
103	ngc6528		7.4	0.8	-6.68	-0.17	2.29	0.09	0.43	16.91   0
104	ngc6539		7.9	3.0	-8.25	-0.66	1.60	0.54	1.67	19.31   0
105	ngc6540		3.5	4.5	-5.30	-1.00	2.50	0.03	0.24	16.40   0
106	ngc6544		2.5	5.5	-6.51	-1.56	1.63	0.05	1.77	17.13   1
107	ngc6541		7.4	2.1	-8.42	-1.83	2.00	0.30	1.19	15.58   1
108	ngc6553		4.9	3.3	-7.73	-0.25	1.17	0.55	1.55	18.15   0
109	ngc6558		6.4	1.8	-6.08	-1.44	2.50	0.03	1.61	17.08   1
110	ic1276		9.3	3.6	-7.36	-100 	1.29	1.08	2.35	21.66   0
112	ngc6569		8.5	1.1	-7.83	-0.86	1.27	0.37	1.33	18.08   0
113	ngc6584		13.0	6.5	-7.63	-1.49	1.20	0.59	0.80	17.79   0
114	ngc6624		7.9	1.2	-7.45	-0.42	2.50	0.06	0.82	15.42   1
115	ngc6626		5.7	2.5	-8.28	-1.45	1.67	0.24	1.56	16.08   0
116	ngc6638		8.2	1.5	-6.78	-0.99	1.40	0.26	0.66	17.27   0
117	ngc6637		8.2	1.5	-7.47	-0.71	1.39	0.34	0.83	16.83   0
118	ngc6642		7.6	1.6	-6.52	-1.35	1.99	0.10	0.73	16.68   1
119	ngc6652		9.4	2.2	-6.52	-0.96	1.80	0.07	0.65	16.31   0
120	ngc6656		3.2	5.0	-8.45	-1.64	1.31	1.42	3.26	17.32   0
121	pal_8		12.4	5.2	-5.47	-0.48	1.53	0.40	0.57	19.83   0
122	ngc6681		8.7	2.0	-7.06	-1.51	2.50	0.03	0.93	15.28   1
123	ngc6712		6.7	3.5	-7.45	-1.01	0.90	0.94	1.37	18.65   0
124	ngc6715		26.2	18.6	-9.96	-1.59	1.84	0.11	0.49	14.82   0
125	ngc6717		7.1	2.4	-5.62	-1.29	2.07	0.08	0.68	16.48   0
126	ngc6723		8.6	2.6	-7.81	-1.12	1.05	0.94	1.61	17.92   1
127	ngc6749		7.7	4.9	-6.65	-1.60	0.83	0.77	1.10	21.54   0
128	ngc6752		3.9	5.3	-7.68	-1.55	2.50	0.17	2.34	15.20   1
129	ngc6760		7.3	4.8	-7.85	-0.52	1.59	0.33	2.18	18.79   0
130	ngc6779		9.9	9.5	-7.33	-1.94	1.37	0.37	1.16	18.06   0
131	terzan7		23.0	15.8	-5.00	-0.58	1.08	0.61	0.97	20.65   0
132	pal_10		5.8	6.4	-5.74	-0.10	0.58	0.81	0.99	22.03   0
133	arp2		27.6	20.4	-5.24	-1.76	0.90	1.59	1.91	24.21   0
134	ngc6809		5.3	3.9	-7.50	-1.81	0.76	2.83	2.89	19.13   0
135	terzan8		25.4	18.5	-5.06	-1.87	0.60	1.00	1.00	22.82   0
136	pal_11		12.6	7.6	-6.76	-0.39	0.69	2.00	1.49	20.33   0
137	ngc6838		3.8	6.7	-5.51	-0.73	1.15	0.63	1.65	19.22   0
138	ngc6864		18.4	12.4	-8.30	-1.32	1.88	0.10	0.47	15.55   0
139	ngc6934		15.2	12.4	-7.45	-1.54	1.53	0.25	0.60	17.26   0
140	ngc6981		16.8	12.7	-7.01	-1.54	1.23	0.54	0.88	18.90   0
141	ngc7006		40.7	38.0	-7.64	-1.68	1.42	0.24	0.38	18.50   0
142	ngc7078		10.2	10.3	-9.11	-2.22	2.50	0.07	1.06	14.21   1
143	ngc7089		11.4	10.3	-8.97	-1.62	1.80	0.34	0.93	15.92   0
144	ngc7099		7.9	7.0	-7.38	-2.12	2.50	0.06	1.15	15.28   1
145	pal_12		18.7	15.5	-4.43	-0.93	1.94	0.20	1.28	20.59   0
146	pal_13		26.3	27.2	-3.46	-1.65	0.66	0.48	0.46	23.36   0
147	ngc7492		25.2	24.3	-5.72	-1.51	1.00	0.83	1.22	21.33   0   
